,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAYI,İNGİLİZCESİ,TÜRKÇESİ,TÜRÜ,EŞ / YAKIN ANLAMLISI,ZIT ANLAMLISI,ÖRNEK CÜMLE 1,ÖRNEK CÜMLE 2,ÖRNEK CÜMLE 3,ÖRNEK CÜMLE 4,ÖRNEK CÜMLE 5,ÖRNEK CÜMLE 6,ÖRNEK CÜMLE 7,ÖRNEK CÜMLE 8,ÖRNEK CÜMLE 9,ÖRNEK CÜMLE 10,ÖRNEK CÜMLE 11,ÖRNEK CÜMLE 12,ÖRNEK CÜMLE 13,ÖRNEK CÜMLE 14,ÖRNEK CÜMLE 15,ÖRNEK CÜMLE 16,ÖRNEK CÜMLE TÜRKÇESİ 1,ÖRNEK CÜMLE TÜRKÇESİ 2,ÖRNEK CÜMLE TÜRKÇESİ 3,ÖRNEK CÜMLE TÜRKÇESİ 4,ÖRNEK CÜMLE TÜRKÇESİ 5,ÖRNEK CÜMLE TÜRKÇESİ 6,ÖRNEK CÜMLE TÜRKÇESİ 7,ÖRNEK CÜMLE TÜRKÇESİ 8,ÖRNEK CÜMLE TÜRKÇESİ 9,ÖRNEK CÜMLE TÜRKÇESİ 10,ÖRNEK CÜMLE TÜRKÇESİ 11,ÖRNEK CÜMLE TÜRKÇESİ 12,ÖRNEK CÜMLE TÜRKÇESİ 13,ÖRNEK CÜMLE TÜRKÇESİ 14,ÖRNEK CÜMLE TÜRKÇESİ 15,ÖRNEK CÜMLE TÜRKÇESİ 16
11,Indifferent,"İlgisiz, Kayıtsız",adj,Uninterested,Interested,Why don't you vote - how can you be so indifferent?,Some people remain indifferent to the suffering of others.,She remained indifferent to public criticism.,Many young people are indifferent to the outcome of local elections.,How can you remain indifferent while your neighbors are suffering?,The cat seemed indifferent to the new toy I bought for it.,He remained indifferent to the suffering of the people around him.,Many voters are indifferent to the outcome of the local elections.,The cat seemed completely indifferent to the new toy I bought.,She was criticized for her indifferent attitude toward the environment.,It is dangerous to be indifferent to the early symptoms of a disease.,The manager appeared indifferent to the complaints of his employees.,We cannot remain indifferent while our planet is being destroyed.,Some people are indifferent to the beauty of classical music.,He gave an indifferent shrug when I asked for his opinion.,The company’s indifferent response to the crisis angered the public.,Neden oy vermiyorsun? Nasıl bu kadar duyarsız olabilirsin?,Bazı insanlar başkalarının acılarına karşı kayıtsız kalırlar.,İş arkadaşları tarafından işine yönelik yapılan eleştirilere kayıtsız kaldı.,Birçok genç yerel seçimlerin sonucuna karşı ilgisizdir.,Komşularınız acı çekerken nasıl kayıtsız kalabiliyorsunuz?,Kedi onun için aldığım yeni oyuncağa kayıtsız görünüyordu.,Etrafındaki insanların acı çekmesine karşı kayıtsız kaldı.,Birçok seçmen yerel seçimlerin sonucuna karşı ilgisizdir.,"Kedi, aldığım yeni oyuncağa tamamen kayıtsız görünüyordu.",Çevreye karşı kayıtsız tutumu nedeniyle eleştirildi.,Bir hastalığın erken belirtilerine karşı kayıtsız kalmak tehlikelidir.,"Müdür, çalışanlarının şikayetlerine karşı kayıtsız görünüyordu.",Gezegenimiz yok edilirken kayıtsız kalamayız.,Bazı insanlar klasik müziğin güzelliğine karşı ilgisizdir.,Fikrini sorduğumda kayıtsızca omuz silkti.,Şirketin krize verdiği kayıtsız yanıt halkı öfkelendirdi.
12,Instill,"Aşılamak, Yüklemek",v,"Fill, inspire","Extract, empty",It is part of a teacher's job to instill confidence in his or her students.,Parents try to instill good values in their children from a young age.,Teachers try to instill discipline in students.,Teachers aim to instill a love of reading in their students.,My parents tried to instill strong moral values in me from birth.,Training is designed to instill discipline among the new recruits.,Parents try to instill a sense of responsibility in their children.,The coach worked hard to instill confidence in his young players.,The aim of the program is to instill a love of learning in students.,Military training is designed to instill discipline and teamwork.,It is important to instill good reading habits at an early age.,The teacher’s stories helped to instill a sense of wonder in the kids.,Leaders must find ways to instill hope during times of national crisis.,His words were intended to instill fear in his political opponents.,We must instill an appreciation for cultural diversity in our schools.,The experience helped to instill a deeper understanding of nature in him.,Öğrencilerine güven aşılamak öğretmenin işinin bir parçasıdır.,Ebeveynler çocuklarına küçük yaştan itibaren iyi değerler aşılamaya çalışırlar.,İyi antrenörler her zaman sporcularına disiplin ve güven aşılamaya çalışırlar.,Öğretmenler öğrencilerinde okuma sevgisi aşılamayı hedeflerler.,Ailem doğumumdan itibaren bana güçlü ahlaki değerler aşılamaya çalıştı.,"Eğitim, yeni askerler arasında disiplin aşılamak için tasarlanmıştır.",Ebeveynler çocuklarına sorumluluk duygusu aşılamaya çalışırlar.,"Antrenör, genç oyuncularına güven aşılamak için çok çalıştı.",Programın amacı öğrencilere öğrenme sevgisi aşılamaktır.,"Askeri eğitim, disiplin ve ekip çalışması aşılamak için tasarlanmıştır.",Erken yaşta iyi okuma alışkanlıkları aşılamak önemlidir.,Öğretmenin hikayeleri çocuklarda merak duygusu aşılamaya yardımcı oldu.,"Liderler, ulusal kriz zamanlarında umut aşılamanın yollarını bulmalıdır.","Sözleri, siyasi rakiplerine korku aşılamayı amaçlıyordu.",Okullarımızda kültürel çeşitliliğe değer verme bilinci aşılamalıyız.,"Deneyim, onda doğaya dair daha derin bir anlayış aşılamaya yardımcı oldu."
13,Isolate,"Soyutlamak, Tecrit etmek, Ayırmak",v,"Seperate, segregate",Unify,He felt isolated when the others laughed altogether.,The researchers had to isolate the virus to study it properly.,The patient was isolated to prevent infection.,The laboratory was able to isolate the specific gene responsible for the disease.,"During the blizzard, many mountain villages were completely isolated.",It is important to isolate the variables in a scientific experiment.,The researchers managed to isolate the virus in a controlled environment.,"During the winter, heavy snow often isolates the mountain villages.",It is important to isolate the variables in a scientific experiment.,He decided to isolate himself from the world to write his novel.,The government tried to isolate the rebel groups from the local population.,The patient was isolated to prevent the spread of the infection.,Technological problems can isolate elderly people from modern society.,The island’s unique geography has isolated its wildlife for centuries.,We need to isolate the main cause of the engine failure.,His controversial views have begun to isolate him from his colleagues.,Diğerleri hep beraber güldüklerinde o kendini soyutlanmış hissetti.,Araştırmacılar virüsü düzgünce incelemek için izole etmek zorunda kaldılar.,Doktorlar virüsün yayılmasını önlemek için hastayı izole etmeye karar verdiler.,"Laboratuvar, hastalıktan sorumlu belirli geni izole etmeyi başardı.",Kar fırtınası sırasında birçok dağ köyü tamamen izole kalmıştı.,Bilimsel bir deneyde değişkenleri izole etmek önemlidir.,Araştırmacılar virüsü kontrollü bir ortamda izole etmeyi başardılar.,"Kışın, yoğun kar yağışı genellikle dağ köylerini izole eder.",Bilimsel bir deneyde değişkenleri izole etmek önemlidir.,Romanını yazmak için kendini dünyadan izole etmeye karar verdi.,"Hükümet, isyancı grupları yerel halktan izole etmeye çalıştı.","Hasta, enfeksiyonun yayılmasını önlemek için izole edildi.",Teknolojik sorunlar yaşlı insanları modern toplumdan izole edebilir.,Adanın benzersiz coğrafyası yaban hayatını yüzyıllardır izole etmiştir.,Motor arızasının ana nedenini izole etmemiz (belirlememiz) gerekiyor.,Tartışmalı görüşleri onu meslektaşlarından izole etmeye başladı.
14,Spoil,"Çürümek, Bozulmak",v,"Decay, Rotten",,The dessert will spoil if you don't keep it in the fridge.,"If you leave the milk out in the heat, it will spoil.",Too much rain can spoil the harvest.,Don't let a small disagreement spoil your entire vacation.,The fruit will spoil quickly if you don't keep it in a cool place.,Grandparents often tend to spoil their grandchildren with too many gifts.,Don't let a minor disagreement spoil your long-term friendship.,The milk will spoil if it is not kept in the refrigerator.,Too much praise can sometimes spoil a young child's character.,The sudden rainstorm threatened to spoil the outdoor wedding.,Construction of the new factory will spoil the view of the valley.,He didn't want to spoil the surprise by telling her too early.,Lack of preparation can spoil your chances of passing the exam.,A small mistake in the recipe can spoil the entire dish.,The pollution in the river has started to spoil the local ecosystem.,Some grandparents tend to spoil their grandchildren with too many toys.,Tatlıyı buzdolabına koymazsan bozulur.,Sütü sıcakta dışarıda bırakırsanız bozulur.,Çok fazla doğrudan güneş ışığı yeni doğan bebeğin hassas cildine zarar verebilir.,Küçük bir anlaşmazlığın tüm tatilinizi mahvetmesine izin vermeyin.,Meyveyi serin bir yerde tutmazsanız çabuk bozulur.,Büyükanneler ve büyükbabalar genellikle torunlarını çok fazla hediye ile şımartma eğilimindedir.,Küçük bir anlaşmazlığın uzun süreli dostluğunuzu bozmasına izin vermeyin.,Buzdolabında saklanmazsa süt bozulacaktır.,Çok fazla övgü bazen küçük bir çocuğun karakterini bozabilir.,Ani yağmur fırtınası açık hava düğününü mahvetmekle tehdit etti.,Yeni fabrikanın inşası vadinin manzarasını bozacaktır.,Sürprizi ona çok erken söyleyerek bozmak istemedi.,Hazırlık eksikliği sınavı geçme şansınızı bozabilir.,Tarifteki küçük bir hata tüm yemeği mahvedebilir.,Nehirdeki kirlilik yerel ekosistemi bozmaya başladı.,Bazı büyükanne ve büyükbabalar torunlarını çok fazla oyuncakla şımartma eğilimindedir.
15,Spontaneous,"Kendiliğinden, Doğal",adj,Natural,Artificial,"His jokes seemed spontaneous, but were in fact carefully prepared beforehand.",The audience broke into spontaneous applause after the performance.,Their decision was spontaneous and emotional.,The crowd broke into spontaneous cheering when the goal was scored.,Our trip to the coast was a spontaneous decision we made this morning.,Her spontaneous laughter lightened the mood of the serious meeting.,The crowd broke into spontaneous applause after the performance.,Our weekend trip to the city was a spontaneous decision.,Children are often admired for their spontaneous and honest reactions.,The chemical reaction caused a spontaneous fire in the laboratory.,Her spontaneous laughter lightened the mood in the serious room.,He made a spontaneous offer to help the stranded travelers.,Spontaneous generation was an old theory that was eventually disproven.,The protest was a spontaneous reaction to the new government policy.,She loves the spontaneous nature of jazz music and improvisation.,The forest fire was caused by spontaneous combustion of dry leaves.,Nükteleri doğaçlama gibi görünüyordu ama aslında daha önceden özenle hazırlanmıştı.,Performanstan sonra seyirciler kendiliğinden alkışlamaya başladılar.,Seyahat etme konusundaki ani kararları harika ve beklenmedik bir maceraya dönüştü.,Gol atıldığında kalabalık kendiliğinden tezahürat yapmaya başladı.,Sahile gezimiz bu sabah verdiğimiz ani bir karardı.,Kendiliğinden attığı kahkaha ciddi toplantının havasını yumuşattı.,Performansın ardından kalabalık kendiliğinden alkış krizine girdi.,Hafta sonu şehre yaptığımız gezi anlık bir karardı.,Çocuklar genellikle kendiliğinden ve dürüst tepkileri nedeniyle takdir edilirler.,Kimyasal reaksiyon laboratuvarda kendiliğinden yangına neden oldu.,Kendiliğinden attığı kahkaha ciddi odadaki havayı yumuşattı.,Yolda kalan gezginlere yardım etmek için kendiliğinden bir teklifte bulundu.,"Kendiliğinden oluşum, sonunda çürütülen eski bir teoriydi.","Protesto, yeni hükümet politikasına karşı kendiliğinden bir tepkiydi.",Caz müziğinin kendiliğinden doğasını ve doğaçlamayı sever.,"Orman yangını, kuru yaprakların kendiliğinden tutuşmasından kaynaklandı."
16,Substantial,"Büyük, Önemli",adj,"Considerable, Extensive, Significant","Minor, Trivial",She inherited a substantial fortune from her grandmother.,There has been a substantial increase in the cost of living this year.,The project requires substantial funding.,There is a substantial difference between the two versions of the report.,The company made a substantial profit after the new product launch.,We need to see substantial evidence before we can make an arrest.,The company reported a substantial increase in profits this year.,There is substantial evidence linking the suspect to the crime.,Rebuilding the bridge will require a substantial amount of investment.,He made a substantial contribution to the field of modern physics.,The refugees are in need of substantial food and medical aid.,There has been a substantial drop in the number of unemployed people.,The new law has brought about substantial changes in the legal system.,She inherited a substantial fortune from her distant relative.,Substantial progress has been made in the peace negotiations.,The building suffered substantial damage during the earthquake.,"Ona, büyükannesinden önemli miktarda miras kaldı.",Bu yıl yaşam maliyetinde önemli bir artış oldu.,"Hayır kurumu, isimsiz ve zengin bir kaynaktan önemli miktarda bağış aldı.",Raporun iki versiyonu arasında önemli bir fark var.,Şirket yeni ürün lansmanından sonra önemli miktarda kar elde etti.,Bir tutuklama yapmadan önce önemli kanıtlar görmemiz gerekiyor.,Şirket bu yıl kârında önemli bir artış bildirdi.,Şüpheliyi suça bağlayan önemli kanıtlar var.,Köprünün yeniden inşası önemli miktarda yatırım gerektirecektir.,Modern fiziğe önemli bir katkıda bulundu.,Mültecilerin önemli miktarda gıda ve tıbbi yardıma ihtiyacı var.,İşsiz sayısında önemli bir düşüş yaşandı.,Yeni yasa hukuk sisteminde önemli değişiklikler getirdi.,Uzak bir akrabasından önemli bir servet miras aldı.,Barış müzakerelerinde önemli ilerleme kaydedildi.,Bina deprem sırasında önemli ölçüde hasar gördü.
17,Precipitate,"Hızlandırmak, Yağmak, Çökmek",v,"Accelerate, hasten",Decelerate,An unexpected invasion would certainly precipitate a political crisis.,A sudden drop in prices could precipitate a financial crisis.,His remark may precipitate a crisis.,The sudden tax increase could precipitate a major economic decline.,One small mistake might precipitate a series of unfortunate events.,Scientists study which factors precipitate heavy rainfall in the region.,A sudden drop in stock prices could precipitate a global financial crisis.,The assassination of the archduke served to precipitate the war.,His reckless comments helped to precipitate a breakdown in talks.,Certain atmospheric conditions can precipitate heavy snowfall.,The discovery of gold precipitated a massive migration to the region.,A change in government policy may precipitate social unrest.,High levels of stress can sometimes precipitate a mental health crisis.,The chemical was added to precipitate the solid particles in the liquid.,The decision to close the factory precipitated a series of local protests.,Scientists are studying what factors precipitate sudden volcanic eruptions.,Beklenmedik bir istila politik bir krizi kesinlikle hızlandırır.,Fiyatlardaki ani bir düşüş ekonomik krizi tetikleyebilir.,Tek bir yanlış hareket tüm sistemin tamamen çökmesine neden olabilir.,Ani bir vergi artışı büyük bir ekonomik gerilemeyi tetikleyebilir.,Küçük bir hata bir dizi talihsiz olayı tetikleyebilir.,Bilim insanları bölgede şiddetli yağışları hangi faktörlerin tetiklediğini inceliyorlar.,Hisse senedi fiyatlarındaki ani bir düşüş küresel bir finansal krizi tetikleyebilir.,Arşidükün suikastı savaşı hızlandırmaya hizmet etti.,Pervasızca yaptığı yorumlar görüşmelerin kopmasını hızlandırmaya yardımcı oldu.,Bazı atmosferik koşullar yoğun kar yağışını tetikleyebilir.,Altının keşfi bölgeye büyük bir göçü hızlandırdı.,Hükümet politikasındaki bir değişiklik toplumsal huzursuzluğu tetikleyebilir.,Yüksek stres seviyeleri bazen bir ruh sağlığı krizini tetikleyebilir.,Sıvıdaki katı partikülleri çökeltmek için kimyasal eklendi.,Fabrikayı kapatma kararı bir dizi yerel protestoyu tetikledi.,Bilim insanları ani volkanik patlamaları neyin tetiklediğini araştırıyorlar.
18,Quotation,"Alıntılama, Aktarma",n,"Extract, excerpt, citation, saying",,"At the beginning of the book, there is a quotation from A.Lincoln.",I included a famous quotation in the introduction of my essay.,The article began with a famous quotation.,He opened his speech with a famous quotation from Shakespeare.,Make sure to put any direct quotation in marks in your essay.,I found an inspiring quotation that perfectly fits our project.,The book begins with an inspiring quotation from a famous poet.,Make sure to provide a proper citation for every quotation used.,He used a well-known quotation to support his argument during the debate.,I found a beautiful quotation about love in the old manuscript.,The journalist included a direct quotation from the prime minister.,She has a quotation from Einstein pinned to her office wall.,The speech was filled with classical quotations from Greek philosophy.,Can you give me a price quotation for the repair of my car?,He often uses a quotation to start his morning lectures.,The quotation marks were missing from the copied text in the report.,Kitabın başında Abraham Lincoln’den bir alıntı var.,Kompozisyonumun girişine ünlü bir alıntı ekledim.,Konuşmacı uzun konuşmasını ilham verici bir alıntıyla bitirdi.,Makalesine Shakespeare'den ünlü bir alıntıyla başladı.,Denemenizde kullandığınız her doğrudan alıntıyı tırnak içine aldığınızdan emin olun.,Projemize mükemmel şekilde uyan ilham verici bir alıntı buldum.,"Kitap, ünlü bir şairden ilham verici bir alıntı ile başlıyor.",Kullanılan her alıntı için uygun bir atıf yapıldığından emin olun.,Tartışma sırasında argümanını desteklemek için iyi bilinen bir alıntı kullandı.,Eski el yazmasında aşk hakkında güzel bir alıntı buldum.,Gazeteci başbakandan doğrudan bir alıntıya yer verdi.,Ofis duvarına iğnelenmiş bir Einstein alıntısı var.,Konuşma Yunan felsefesinden klasik alıntılarla doluydu.,Arabamın tamiri için bana bir fiyat teklifi verebilir misiniz?,Sabah derslerine başlamak için sık sık bir alıntı kullanır.,Rapordaki kopyalanan metinde tırnak işaretleri eksikti.
19,Realm,"Alan, Saha, Krallık, Ülke, Memleket",n,"Area, Region, Field",,Her interests are in the realm of practical politics.,The discovery opened up new possibilities in the realm of science.,This kingdom belonged to a different realm.,Such advanced technology was once only found in the realm of science fiction.,The king worked hard to maintain peace within his realm.,New discoveries are being made every day in the realm of medicine.,Such advanced technology was once only found in the realm of science fiction.,The king worked tirelessly to maintain peace and order within his realm.,New discoveries are expanding our knowledge in the realm of space.,Her interests lie primarily in the realm of ancient history and art.,Digital communication has transformed the realm of human interaction.,We must explore every possibility within the realm of political diplomacy.,This theory belongs more to the realm of philosophy than hard science.,He is considered a leading authority in the realm of economic theory.,The mysterious creatures exist only in the realm of local folklore.,Protecting the environment is now a priority in the realm of global policy.,Onun ilgi alanı güncel politika.,"Keşif, bilim alanında yeni olanaklar açtı.",Fizik alanındaki yeni keşifler dünyamızı sonsuza dek değiştirdi.,Böylesine gelişmiş bir teknoloji bir zamanlar sadece bilim kurgu alanında bulunurdu.,"Kral, krallığı içinde barış ve düzeni sağlamak için çok çalıştı.",Tıp alanında her gün yeni keşifler yapılıyor.,Böylesine gelişmiş bir teknoloji bir zamanlar sadece bilim kurgu alanında bulunurdu.,"Kral, krallığı içinde barış ve düzeni sağlamak için yorulmadan çalıştı.",Uzay alanındaki yeni keşifler bilgimizi genişletiyor.,İlgi alanları öncelikle antik tarih ve sanat alanındadır.,"Dijital iletişim, insani etkileşim alanını dönüştürdü.",Siyasi diplomasi alanı içindeki her olasılığı araştırmalıyız.,Bu teori sert bilimden ziyade felsefe alanına aittir.,Ekonomik teori alanında önde gelen bir otorite olarak kabul edilir.,Gizemli yaratıklar sadece yerel folklor alanında var olurlar.,Çevreyi korumak artık küresel politika alanında bir önceliktir.
20,Legitimate,"Yasal, Meşru",adj,"Legal, Lawful","Illegal, Illegitimate",The army must give power back to the legitimate government.,The company has a legitimate reason for requesting more time.,He questioned the legitimate authority of the court.,The company has a legitimate interest in protecting its trade secrets.,You need a legitimate reason to skip the mandatory training session.,The court ruled that the claim was legitimate and should be paid.,The protesters have legitimate concerns about the new education law.,He was able to provide a legitimate excuse for his absence.,The court ruled that her claim to the inheritance was legitimate.,We must ensure that the election is conducted in a legitimate manner.,The company has a legitimate need for additional funding this year.,Is it legitimate to use personal data for commercial advertising?,She is the legitimate heir to the throne according to the royal law.,The government is struggling to maintain its legitimate authority.,He used legitimate methods to increase his company's market share.,Journalists have a legitimate right to protect their anonymous sources.,"Ordu, yetkiyi tekrar meşru hükümete vermeli.",Şirketin daha fazla zaman talep etmek için meşru bir nedeni var.,Her vatandaşın fikrini özgürce ifade etme meşru hakkı vardır.,Şirketin ticari sırlarını korumak için meşru bir çıkarı vardır.,Zorunlu eğitim oturumuna katılmamak için meşru bir nedene ihtiyacınız var.,"Mahkeme, talebin meşru olduğuna ve ödenmesi gerektiğine karar verdi.",Protestocuların yeni eğitim yasasıyla ilgili meşru endişeleri var.,Yokluğu için meşru bir mazeret sunabildi.,"Mahkeme, miras üzerindeki hak iddiasının meşru olduğuna karar verdi.",Seçimin meşru bir şekilde yapıldığından emin olmalıyız.,Şirketin bu yıl ek finansman için meşru bir ihtiyacı var.,Kişisel verilerin ticari reklam için kullanılması meşru mu?,Kraliyet yasasına göre tahtın meşru varisidir.,Hükümet meşru otoritesini korumak için mücadele ediyor.,Şirketinin pazar payını artırmak için meşru yöntemler kullandı.,Gazetecilerin anonim kaynaklarını korumak için meşru bir hakları vardır.
